"충청남도","여자인구수 (명)",1038549,27787,42271,49465,48099,48989,51163,55500,59200,77592,74024,83448,80701,86796,73131,52603,41953,41916,29293,11672,2520,426
"전북특별자치도","여자인구수 (명)",881338,19235,30895,39227,40117,43458,43887,40990,41953,57653,61848,73050,71500,76995,65759,50498,42456,41490,26708,10795,2411,413
"전라남도","여자인구수 (명)",894669,21523,31196,38876,38250,38249,40145,39198,40833,56043,56946,70068,73044,80758,67859,53945,48599,50850,32417,12662,2685,523
"경상북도","여자인구수 (명)",1264026,28960,44874,52363,51273,51789,54333,57134,61314,85433,85909,104874,109360,120612,102226,78213,57644,60861,38453,14653,3237,511
"경상남도","여자인구수 (명)",1614171,38279,64594,77802,74224,67965,73447,78803,86042,124026,121547,145531,139712,145082,119259,82565,62418,58637,36555,14313,2984,386
"제주특별자치도","여자인구수 (명)",337276,9669,15348,17775,16226,16177,18412,19009,19545,27787,25602,30381,26814,26153,20876,13800,12088,10234,7034,3380,688,278
"전국","남자인구수 (명)",25565736,683649,1024361,1197204,1196135,1452989,1783849,1785954,1635037,2059426,1968824,2279677,2105873,2095791,1660036,1062361,756369,519060,229165,59066,9487,1423
"서울특별시","남자인구수 (명)",4540031,109615,153833,182333,193013,260394,382835,390093,323822,365462,337539,391756,343004,338627,284228,191108,142967,97049,39975,10239,1820,319
"부산광역시","남자인구수 (명)",1605431,38642,61047,68753,66329,88728,105264,105605,95704,126918,117902,136263,128407,139573,124686,85095,59161,38627,14785,3402,478,62
"대구광역시","남자인구수 (명)",1166803,29657,47504,54563,55952,70605,78356,78536,70552,88305,88093,104742,100658,98547,76550,51869,34311,24581,10493,2555,342,32
"인천광역시","남자인구수 (명)",1499016,42464,61269,70591,69023,82932,105983,112672,102610,128776,118474,132902,123984,125654,92430,54153,37683,23822,10302,2716,476,100
"광주광역시","남자인구수 (명)",700896,19774,31254,37652,38536,47412,52312,47060,42787,57047,56188,62953,56114,50786,37557,25104,18808,12653,5366,1322,194,17
"대전광역시","남자인구수 (명)",719292,20448,29342,34699,36528,46743,57447,53220,46155,55291,54625,64298,57036,54755,43111,27108,18569,12583,5549,1510,243,32
"울산광역시","남자인구수 (명)",567153,15313,25308,29088,27968,31178,38473,38361,35973,47480,44293,50579,52321,49487,35914,21689,12845,7536,2610,652,76,9
"세종특별자치시","남자인구수 (명)",192524,8666,13456,14216,11369,9184,10015,13434,15834,20350,17894,16622,11879,10508,8025,4794,2999,2024,948,253,49,5
"경기도","남자인구수 (명)",6855895,205753,300605,342461,333286,392989,492121,505681,473891,595512,555283,623708,553993,525995,388137,227888,163480,109815,49604,13124,2180,389
"강원특별자치도","남자인구수 (명)",768449,19687,26776,32600,34335,44045,47594,44173,40519,52047,54263,68062,67423,73992,64028,36877,28618,21027,9516,2340,435,92
"충청북도","남자인구수 (명)",810448,21393,31528,37242,37478,45282,55334,54112,48662,60190,59416,70422,69663,71826,58654,35557,24594,18080,8571,2045,359,40
"충청남도","남자인구수 (명)",1091570,29326,44387,52748,51745,58166,67340,68152,68247,88036,84344,96249,89695,92115,73040,48756,35312,25639,13727,3894,584,68
"전북특별자치도","남자인구수 (명)",873419,19714,32638,41464,43496,51090,52378,46193,43863,60205,65408,79521,76747,78104,64039,45039,33812,24058,11875,3215,499,61
"전라남도","남자인구수 (명)",909548,22170,32837,40724,41083,48690,51068,45111,44360,62384,65440,81833,85337,87177,69663,49735,37643,27986,12437,3273,528,69
"경상북도","남자인구수 (명)",1290298,30559,47533,56562,57113,68500,73633,71128,69578,92659,93365,114133,116340,124507,102082,70824,46265,34751,15935,4131,646,54
"경상남도","남자인구수 (명)",1636987,40351,68775,82773,81148,88058,93241,92351,92939,131061,128669,153313,144301,147478,117598,74698,49376,32401,14344,3554,501,57
"제주특별자치도","남자인구수 (명)",337976,10117,16269,18735,17733,18993,20455,20072,19541,27703,27628,32321,28971,26660,20294,12067,9926,6428,3128,841,77,17
